key,worker_id,agreement
"(213, 2)",A1BG4Z8AANP95N,1
"(213, 2)",A3R5CALO6EH0ZR,5
"(213, 2)",AMID7O126S33V,-1
"(213, 2)",A3P7PPQA3EU1H3,-1
"(213, 2)",A3F0OII70LQX09,3
"(213, 2)",A2Z2CVOBYA74B0,-5
"(1114, 6)",A1B2KIB7DPC2PR,-4
"(1114, 6)",A1R4UI08RDSGD2,0
"(1114, 6)",AP1HCIYDB0OTX,1
"(1114, 6)",A7ZOVHE48L7RS,0
"(1114, 6)",A1RF70DSVAZVI6,-1
"(1114, 6)",A2QTARMOEUQMF1,0
"(1114, 6)",A1BS484S0O76YT,-1
"(158, 3)",A2LLM1HGLCOOE0,0
"(158, 3)",AA7LA8WQNABDT,0
"(158, 3)",ASX2NOUVA9CRH,3
"(158, 3)",A3C9A382KUWMS0,0
"(158, 3)",A14NJ0E25UM25Q,0
"(1124, 0)",AWCCY9UU171TO,2
"(1124, 0)",A3R9QA29UA5FWV,5
"(1124, 0)",A37XVHGR4ZSTSM,-5
"(1124, 0)",A1S291KFXPM33J,0
"(1124, 0)",A2MWAXV1YRK5GH,4
"(1090, 3)",AFDLE79DCTIPP,0
"(1090, 3)",A2V3P1XE33NYC3,1
"(1090, 3)",AMID7O126S33V,-1
"(1090, 3)",A3P7PPQA3EU1H3,-1
"(1090, 3)",A14NJ0E25UM25Q,0
"(1090, 3)",A1B2KIB7DPC2PR,2
"(1223, 3)",A1U00BDONXG17C,1
"(1223, 3)",A2O9ZPGNNBSH00,-3
"(1223, 3)",A2J70V9HYPYLE9,1
"(1223, 3)",AMID7O126S33V,-4
"(1223, 3)",A37XVHGR4ZSTSM,-5
"(1189, 0)",A2O9ZPGNNBSH00,-2
"(1189, 0)",A2Q3ZPCNE2EOAO,-5
"(1189, 0)",AM7FYVGVOEP66,1
"(1189, 0)",AWQ44ZCQZYQJY,5
"(1189, 0)",AP1HCIYDB0OTX,-3
"(1189, 0)",A3AH8UT0TCYMUG,-3
"(152, 5)",A3DSRQ5CBK6G3U,0
"(152, 5)",A1B2KIB7DPC2PR,-1
"(152, 5)",A2PE5UDQ5WG2R0,2
"(152, 5)",A36CP7G5OZY030,5
"(152, 5)",A14NJ0E25UM25Q,0
"(1010, 0)",ADN76VWLV3O5S,0
"(1010, 0)",AKJ22H1NTVIQX,3
"(1010, 0)",AMID7O126S33V,-1
"(1010, 0)",A17IWKV4G3N25X,4
"(1010, 0)",A14NJ0E25UM25Q,0
"(1010, 0)",A3P7PPQA3EU1H3,-2
"(288, 1)",AFDLE79DCTIPP,0
"(288, 1)",A3P7PPQA3EU1H3,1
"(288, 1)",A1B2KIB7DPC2PR,2
"(288, 1)",A14NJ0E25UM25Q,0
"(288, 1)",A36CP7G5OZY030,5
"(554, 6)",A6Y7BLDK90Q19,-1
"(554, 6)",A3H5Z4JEVFW7N,-5
"(554, 6)",A1HVEW7DUNZULN,-5
"(554, 6)",A3C9A382KUWMS0,-5
"(554, 6)",A3QU3KM3IYWHIF,-4
"(1085, 2)",A1UDQV4PUFYPKN,-2
"(1085, 2)",A8CNQ1BSZYOLY,-4
"(1085, 2)",ACJES3V0DVUGY,-5
"(1085, 2)",A36JZTUKQVV5S5,-5
"(1085, 2)",A1B2KIB7DPC2PR,-2
"(338, 3)",A36CP7G5OZY030,5
"(338, 3)",A1BG4Z8AANP95N,3
"(338, 3)",A3P7PPQA3EU1H3,1
"(338, 3)",AMID7O126S33V,3
"(338, 3)",A36CP7G5OZY030,-5
"(338, 3)",AGPRRX9GD0XJ4,4
"(1294, 1)",A1B2KIB7DPC2PR,2
"(1294, 1)",A3R5CALO6EH0ZR,-4
"(1294, 1)",A2VWJTNC4OKNI7,-2
"(1294, 1)",AZ8RYHKONKOCB,0
"(1294, 1)",AWCCY9UU171TO,2
"(1294, 1)",A37XVHGR4ZSTSM,-5
"(1294, 1)",A1S291KFXPM33J,0
"(489, 6)",AR7TQDJ59O2KZ,0
"(489, 6)",A32LCM1ZARQLOG,2
"(489, 6)",AMID7O126S33V,0
"(489, 6)",A3R5CALO6EH0ZR,0
"(489, 6)",A3AH8UT0TCYMUG,2
"(1116, 2)",A18JQFU6QCTI6G,0
"(1116, 2)",A6Y7BLDK90Q19,-1
"(1116, 2)",AC8BGOG45QWA2,-3
"(1116, 2)",A2JOQX1C7BNKXC,0
"(1116, 2)",ACPUTK2MNMYHB,0
"(1116, 2)",A2MR259UZRESDS,-4
"(1116, 2)",A31RKV21MUC3R0,-3
"(98, 1)",A5379LUINT3PC,4
"(98, 1)",A3R9QA29UA5FWV,-5
"(98, 1)",A3P7PPQA3EU1H3,-3
"(98, 1)",A14NJ0E25UM25Q,0
"(98, 1)",A36JZTUKQVV5S5,-3
"(249, 4)",AR7TQDJ59O2KZ,2
"(249, 4)",AOHHTBPD64EB6,0
"(249, 4)",A2JOQX1C7BNKXC,1
"(249, 4)",AMID7O126S33V,2
"(249, 4)",A17IWKV4G3N25X,0
"(487, 6)",A1UDQV4PUFYPKN,4
"(487, 6)",A2Z6OWK3KT98RN,1
"(487, 6)",A3C9A382KUWMS0,5
"(487, 6)",AHOARZ6ADFC90,4
"(487, 6)",AMID7O126S33V,0
"(543, 2)",A3C9A382KUWMS0,5
"(543, 2)",A2PE5UDQ5WG2R0,3
"(543, 2)",A2Q3ZPCNE2EOAO,5
"(543, 2)",ALE5RDP8XZL3,4
"(543, 2)",A3P7PPQA3EU1H3,-1
"(1348, 2)",A2J70V9HYPYLE9,5
"(1348, 2)",AMID7O126S33V,5
"(1348, 2)",AKJ22H1NTVIQX,1
"(1348, 2)",A3R5CALO6EH0ZR,5
"(1348, 2)",A14NJ0E25UM25Q,0
"(43, 2)",A1PX84H2DRK14I,0
"(43, 2)",A1WP5QP1R1GT7B,4
"(43, 2)",A3OZ3M6SRO2QNO,5
"(43, 2)",ASX2NOUVA9CRH,5
"(43, 2)",AMID7O126S33V,0
"(43, 2)",A17IWKV4G3N25X,5
"(247, 0)",A1BADZXRMPSPDC,2
"(247, 0)",A2HUVJPLKGUKFQ,4
"(247, 0)",A30KO1ZDD4E02J,-5
"(247, 0)",A6Y7BLDK90Q19,0
"(247, 0)",A3DSRQ5CBK6G3U,1
"(247, 0)",A2HUSOVMMRJNNX,3
"(1077, 0)",AIY8WQZDKMD5C,-5
"(1077, 0)",ADN76VWLV3O5S,0
"(1077, 0)",A1ED0UM8C63QX5,4
"(1077, 0)",ACJES3V0DVUGY,-3
"(1077, 0)",AMID7O126S33V,-1
"(1077, 0)",A3C9A382KUWMS0,0
"(611, 3)",AFDLE79DCTIPP,0
"(611, 3)",A3R5CALO6EH0ZR,4
"(611, 3)",AMID7O126S33V,-2
"(611, 3)",A37XVHGR4ZSTSM,1
"(611, 3)",A2VC5HZF0SQUWP,3
"(611, 3)",A2Z2CVOBYA74B0,5
"(330, 1)",A2JOQX1C7BNKXC,2
"(330, 1)",A3C9A382KUWMS0,5
"(330, 1)",AMID7O126S33V,4
"(330, 1)",A36CP7G5OZY030,-5
"(330, 1)",A3R5CALO6EH0ZR,5
"(330, 1)",A14NJ0E25UM25Q,0
"(349, 5)",A3S0NNL81WJSEH,-4
"(349, 5)",AP1HCIYDB0OTX,-1
"(349, 5)",A3P7PPQA3EU1H3,-1
"(349, 5)",A6Y7BLDK90Q19,1
"(349, 5)",A37XVHGR4ZSTSM,-5
"(1286, 3)",A3R5CALO6EH0ZR,-4
"(1286, 3)",AV8SVCVP9V5BK,3
"(1286, 3)",A2ZG6GDYEI4Q3K,0
"(1286, 3)",A1HKSBZ5O41LZ3,-2
"(1286, 3)",A2UFD1I8ZO1V4G,0
"(1286, 3)",A7ZOVHE48L7RS,-3
"(1286, 3)",AWCCY9UU171TO,-2
"(176, 1)",AOHHTBPD64EB6,5
"(176, 1)",A2HUVJPLKGUKFQ,4
"(176, 1)",A238NQ2IPPPBMG,5
"(176, 1)",A3OTQF9XCTAS1A,1
"(176, 1)",A3P7PPQA3EU1H3,-1
"(176, 1)",A14NJ0E25UM25Q,0
"(944, 6)",A10DZFZLF4AFTK,0
"(944, 6)",A19NFXK3KA5ZRZ,-2
"(944, 6)",A14NJ0E25UM25Q,0
"(944, 6)",A3P7PPQA3EU1H3,-1
"(944, 6)",A2M5JYZODXCQ0W,-5
"(944, 6)",AGPRRX9GD0XJ4,3
"(778, 4)",AIY8WQZDKMD5C,-4
"(778, 4)",ACJES3V0DVUGY,-5
"(778, 4)",AMID7O126S33V,-1
"(778, 4)",A1FAJ118DBS6CX,-2
"(778, 4)",A3QU3KM3IYWHIF,-3
"(778, 4)",A14NJ0E25UM25Q,0
"(911, 6)",AFDLE79DCTIPP,0
"(911, 6)",A1AI8MC07M7UBZ,-1
"(911, 6)",A3P7PPQA3EU1H3,-1
"(911, 6)",A17IWKV4G3N25X,-2
"(911, 6)",AMID7O126S33V,-1
"(911, 6)",A1B2KIB7DPC2PR,1
"(377, 6)",A3BVJL7P490DCS,1
"(377, 6)",A1ED0UM8C63QX5,0
"(377, 6)",A3P7PPQA3EU1H3,-1
"(377, 6)",AMID7O126S33V,-2
"(377, 6)",A1V37SR8WKUOC5,-3
"(377, 6)",A2MWAXV1YRK5GH,2
"(1251, 5)",A2J70V9HYPYLE9,0
"(1251, 5)",AMID7O126S33V,-2
"(1251, 5)",A1B2KIB7DPC2PR,-2
"(1251, 5)",A20HS06RD1TVTX,-5
"(1251, 5)",A6Y7BLDK90Q19,-2
"(538, 2)",ADN76VWLV3O5S,-3
"(538, 2)",A26QEA0QVDG0R,0
"(538, 2)",AMID7O126S33V,-1
"(538, 2)",A14NJ0E25UM25Q,0
"(538, 2)",A37XVHGR4ZSTSM,-3
"(538, 2)",A1B2KIB7DPC2PR,3
"(408, 1)",AR749S8E0VHVW,0
"(408, 1)",A3FM3KWYVBBZ15,0
"(408, 1)",AMID7O126S33V,0
"(408, 1)",A209T4ZL3NKV8H,0
"(408, 1)",A3P7PPQA3EU1H3,1
"(408, 1)",A17IWKV4G3N25X,4
"(54, 2)",A2HUVJPLKGUKFQ,4
"(54, 2)",A18JQFU6QCTI6G,-5
"(54, 2)",AMID7O126S33V,-2
"(54, 2)",A3C9A382KUWMS0,-5
"(54, 2)",AP1HCIYDB0OTX,-2
"(54, 2)",A14NJ0E25UM25Q,0
"(1010, 1)",ADN76VWLV3O5S,5
"(1010, 1)",AKJ22H1NTVIQX,1
"(1010, 1)",AMID7O126S33V,-1
"(1010, 1)",A17IWKV4G3N25X,4
"(1010, 1)",A14NJ0E25UM25Q,0
"(1010, 1)",A3P7PPQA3EU1H3,-2
"(270, 1)",A12AICIWGAEUPU,0
"(270, 1)",A2PE5UDQ5WG2R0,-1
"(270, 1)",A1B2KIB7DPC2PR,-1
"(270, 1)",A20HS06RD1TVTX,-4
